Guess,Weighted Avg Log
herwon,4.824375727375573
heupen,4.823810091722518
horige,4.8196705047041215
handeg,4.812979617303341
herige,4.8107414693884145
hoerig,4.801013214960051
helens,4.79868444653211
hanige,4.79769292379064
harsig,4.790617411759457
harige,4.7899289301569485
helmen,4.787621721322942
huiden,4.7838920149115225
hulken,4.783496416669761
huigen,4.7771550940501415
harren,4.772170620109404
horend,4.770956357530338
hoepel,4.770182810081848
haruns,4.768343254128866
hondse,4.759198633765099
heides,4.757958135193354
heraut,4.753505184902694
hansop,4.751876243500075
huiken,4.750360090247044
hutsen,4.748385585072929
haspel,4.742738058863696
hartig,4.7416275503720495
hoeise,4.737877337871574
hangop,4.735836811455438
haksel,4.7297850158491626
horzel,4.723415730073433
holler,4.713299993943273
heikel,4.712569160402768
hollen,4.709712103484212
heiers,4.705415904562485
halzen,4.705204175330292
hoedna,4.704019543568416
hupsen,4.701039334271086
hengst,4.700505167213167
herren,4.6935580616263435
heugel,4.693324942387864
hooien,4.693046210846311
hoenen,4.688936268217219
harrel,4.684232633287886
handig,4.678761185708107
hilkes,4.673910993045159
hoerde,4.669912185775582
hallen,4.665020555059977
hooier,4.659211273446376
hierop,4.656074988932377
houset,4.655235078259948
halend,4.6531529474512565
hielde,4.650659602240183
helers,4.6470117226463055
hogere,4.646382636312627
haaien,4.645469313766996
heenga,4.644373976417925
hupser,4.643331416505169
helend,4.6429677250176855
hierin,4.642673072054923
hoezen,4.63889533321507
herval,4.632481306840742
hutsel,4.632063788616137
hannes,4.629819134501498
hupten,4.629285081448831
hinkte,4.627940208924287
hostie,4.627058970735672
herpak,4.62694202526716
hobuer,4.623071443644668
honkte,4.618142741623354
hoeven,4.617010091485717
hiekes,4.615294528137416
halsde,4.614419688257893
heikes,4.613614904779494
hieven,4.606632796452779
hompen,4.606545022186124
hobies,4.602360089729021
halbes,4.601375322474115
heidag,4.59212920467311
haften,4.588174485459642
harpte,4.583590301350246
hemden,4.5717792533817025
hinten,4.570868772084443
hoever,4.565300721291216
hierom,4.564583222952223
hossen,4.55680355290641
heimat,4.555741521680311
heller,4.5468275808280545
harses,4.541694678394671
hunner,4.53927535584136
hellen,4.53846739594826
heidin,4.535444220576937
holist,4.534632235959724
hofnar,4.532855749428375
harkte,4.51418401904496
herzie,4.510888616061667
heibel,4.507136338501873
hangar,4.491531948744523
herrie,4.491393272017478
heulde,4.488320384964882
houwen,4.487790043611843
herves,4.485712058792287
heerst,4.485284102398937
hardop,4.476875830933954
hulzen,4.4760250674913795
heften,4.472444661912169
hetero,4.470224979206301
hotten,4.469700711897679
hortus,4.467303370821482
honden,4.466942660612275
hompel,4.459004245155192
haters,4.456901278731755
hessen,4.455635258656057
hauwen,4.452847992170035
hoepla,4.447596683789515
hieraf,4.442993256951216
hangen,4.4421684877808385
handen,4.441697116691515
herres,4.435931607892758
honken,4.435764515168648
huizen,4.433378193934863
hoekig,4.432164604493307
huiven,4.429665373274217
hergaf,4.42847871451058
helium,4.426259171247729
hogers,4.426183825290982
hopman,4.425512228196606
hullen,4.423272196173039
houwer,4.417359850804809
humden,4.415054831962109
hervat,4.409722144553694
hossel,4.403706617495233
hagers,4.401533320354365
hoekse,4.399244411864529
hinden,4.398781141560165
hengen,4.397172632612488
harder,4.396310989967812
hingen,4.393592113149422
hilles,4.393065560790677
