Guess,Weighted Avg Log
speed,3.21665630852603
sat1n,3.2160922952937696
slaak,3.2120992671634827
sluwe,3.2093843828040014
servo,3.2075692934286035
seths,3.20736749154632
shift,3.2067498662446563
stuks,3.2019920985772115
sluis,3.1996250589731376
sneed,3.1900252278359744
sappe,3.1894749798442974
staat,3.1892432662373627
snede,3.1747368719948694
sifon,3.1736017555071956
stuur,3.1695179252531926
spaak,3.1662111565328943
sfeer,3.1633846825719507
smaal,3.1622212212048777
skald,3.1617265730056237
stoft,3.1611961590650157
suave,3.159598831775326
snaak,3.1590385895639876
schei,3.158190607974012
saudi,3.1574119177668853
sound,3.153223757686252
stoof,3.148737100966741
signa,3.1410424192322277
sl1mt,3.139193262424668
simde,3.125978243878918
smeek,3.109164762472636
shops,3.1031680701995557
schal,3.1004352112453963
slook,3.09820427915804
sokje,3.0941146096368337
stikt,3.092142484236354
salvo,3.090582294086495
slims,3.090498565442035
sloom,3.090387443287342
schap,3.0896506889024913
schar,3.087946528668894
sjirp,3.087747430325565
slurf,3.085189846297121
snauw,3.076593140823942
sjilp,3.0755833704483737
stigs,3.075162128425934
scala,3.0711279840577608
str1k,3.070540086114706
sumak,3.067039981337217
smous,3.063544921800363
sluif,3.0581794956233646
sjeik,3.057032802786288
salam,3.056346184909954
spouw,3.0540577555916415
schol,3.0530546235527685
smoor,3.0505295548182954
shell,3.0486913574801395
sippe,3.043979448306908
schor,3.042159589427384
seder,3.0377965656726964
stoot,3.0299670112134214
spook,3.0275257106176228
schop,3.0243759420728322
schut,3.0170268113866157
swens,3.013866662637645
slaaf,2.997862160406837
setje,2.9971736102913025
saars,2.9947346826646735
snuif,2.9908792300039138
shawl,2.9908402402151535
saais,2.9871373775692165
skins,2.9867293137947795
softs,2.9860354049216653
spaad,2.9765169997985104
scoor,2.972664563656932
saifs,2.9616449654648465
saids,2.9603977719818952
serge,2.957235794650915
smack,2.955687603103397
slums,2.951535833599571
svens,2.9510974826580605
small,2.9497385283104998
st1ve,2.943727445650322
sinus,2.9421884561210976
scoop,2.9402923565047336
sp1st,2.934579786146916
shoah,2.9278856538128193
slaag,2.9243918207818007
sikje,2.9195302891281063
stift,2.9140157870724823
scrum,2.910789746011191
sjans,2.9080540475558863
spruw,2.9074047392135687
siebs,2.9017469324625695
sinti,2.8988812749903112
sufst,2.897341617963721
salsa,2.894290066708619
smeed,2.890793060429792
str1d,2.8837902623904177
sjako,2.873452549766502
smash,2.8703664175271673
sloof,2.8674414614927013
shogi,2.8664385664120475
skips,2.8637923374375114
syrah,2.8631482719169785
sjons,2.8610591734001884
sn1dt,2.853964502070927
sinjo,2.8495836210102268
schil,2.8469658911540052
swami,2.831772213698862
schip,2.8307711603502703
soois,2.829051619815568
serre,2.8194826650443225
smaak,2.8185001073173206
serve,2.8154982570469964
sjaal,2.8065003325619338
sigma,2.7919534978313463
snood,2.7912520892611328
snobs,2.7903930279916915
snoof,2.7861612995892426
sylfe,2.782830869800617
stuft,2.7810364264620904
sekse,2.7755738825401375
smurf,2.7678762829596915
sambo,2.7569665764104925
swaps,2.756924909720782
schee,2.7523933032465755
spoog,2.7388532568276696
sp1ts,2.73807706616782
shiva,2.7367592267015546
sicav,2.713792120371301
shock,2.706218104794982
smook,2.7030414148672723
songs,2.69142883807194
somma,2.680017609127771
schok,2.674782262082099
sushi,2.652359954169472
sabra,2.6516807861726805
sirih,2.6273273476106564
sjees,2.62152949380786
smaad,2.6179286003312994
scheg,2.607664078815145
skyes,2.6022934379311096
sold1,2.590446836281602
sinds,2.5878379171784958
stuwt,2.577642966139409
suzes,2.562634089012607
schaf,2.558630349288655
stuff,2.5499720321402766
sepps,2.5382301939143845
shoyu,2.5062360744575445
sjefs,2.5041732423926786
sikhs,2.5010357024112464
saads,2.4973526033839013
shows,2.4922346548458343
scrub,2.4900105657176006
s1zen,2.487002765555437
sjahs,2.477555647999444
schim,2.476086858572208
schik,2.455525669250167
sch1t,2.4459229541979353
suffe,2.4309777799513483
summa,2.4153121919672262
skunk,2.412293066015019
sulky,2.4037751655175574
shahs,2.3704203509855954
swing,2.36769004103913
sibbe,2.3654766778239624
secce,2.352919026404892
sorry,2.3305206529069307
sjouw,2.3271594839862413
schab,2.323942517960999
sfinx,2.3171572415016075
schob,2.2594270531093583
samba,2.240675438439097
st1ft,2.2193902404552572
sybes,2.1970630534511675
s1sje,2.1869471295369753
spuug,2.1830919337230146
schud,2.16954497377361
sjwas,2.1597430849596115
squaw,2.157762779906883
st1gt,2.132355566304251
swipi,2.1190874033545417
sch1n,2.0849941662846665
skiff,1.9614563332924586
schuw,1.9267271222071018
schub,1.910391092600947
sch1f,1.597582795889137
