Guess,Weighted Avg Log
milles,4.696644347003776
monken,4.695513340286394
muesli,4.694532506931045
murwen,4.694409737951666
meurde,4.690901398504102
manage,4.690603706584281
mobile,4.685739204995887
matses,4.674245041808119
motard,4.673224477196501
manons,4.670377381610529
maudes,4.668772998914252
misjna,4.665698953914257
muften,4.665552318138027
mescal,4.664967712160419
muizen,4.663355521852634
makker,4.659868951023076
meleks,4.65960027792428
mossel,4.65771661230403
mengde,4.657053001471559
mondig,4.655726932991227
minima,4.653324721869335
mattes,4.652751514941399
motjes,4.651168153341841
manden,4.64595355542145
moheel,4.644754314014306
makken,4.638769053858795
mauwen,4.6380362364873235
merker,4.634428119832989
meetel,4.631272969619524
mietje,4.622399202392386
muonen,4.622397511545886
mar1ns,4.620413397093274
meukte,4.612413541907854
muller,4.612279076751223
moekim,4.612068291555453
meunen,4.605655331992187
maler1,4.600868080416952
mistte,4.599330527950116
matras,4.597408474351683
millse,4.5960540762250925
medusa,4.594921016536737
meidag,4.594407468867622
mottes,4.5936776560485
mandje,4.592135286155475
muntje,4.585904428959871
morose,4.576950696426765
meerse,4.576476337007586
manuur,4.575387367610753
muisde,4.571966022395095
mangat,4.570349817460402
mierik,4.5697681100470575
mimede,4.569408302059354
merbau,4.56392358167748
mouwen,4.563379256537337
meisje,4.561935972469034
memels,4.557497334211234
mislas,4.554120732971657
mokken,4.548330508120241
mitste,4.54745454906695
moezel,4.547367134599883
mildst,4.545886202094169
magots,4.545575920785546
monden,4.5455363788322805
mussen,4.543529229442193
module,4.543146484907018
makkie,4.541858838265176
misval,4.540702646440946
mastte,4.539607575358975
meryls,4.534976465167841
monnik,4.534911992479937
majeur,4.530150698506106
mazens,4.527683773791079
muntte,4.525620266921585
maaide,4.5255849671035975
medium,4.5219425758992555
meier1,4.519683034198955
maning,4.518360777450016
molton,4.517649545837
melles,4.514765744552597
meewil,4.511097951347445
midden,4.510603881669768
mekker,4.507644089461323
mikado,4.505502782394042
modest,4.503222243211075
metjes,4.499813825032451
matrak,4.498315097207688
merkje,4.497647823727545
meezit,4.492708117176752
matste,4.490103191597219
moetje,4.484027811464385
misluk,4.483976998409715
miepte,4.480846600072054
momber,4.479951937623868
mammen,4.479853772094766
mondje,4.476813909154551
missla,4.473776693108436
mekken,4.471705003687291
menden,4.469868507283046
murads,4.466973924789146
mahers,4.460725131953717
mettes,4.4575230201528475
moorse,4.455108139311582
masons,4.451087268190151
maarde,4.449765878309711
meepit,4.44975523864838
matr1s,4.445272805168771
medica,4.444068063263908
molmde,4.44267181653666
mikwes,4.440095688033499
missta,4.439381830352074
mamzel,4.435913133053409
moedig,4.435008516923642
majors,4.427822041271616
minuut,4.424750683500449
mammie,4.423648369710406
mazelt,4.419147987134609
miradj,4.417292572222363
mengen,4.416601941530495
maarts,4.412714595218504
mokkel,4.40824713854785
manl1k,4.405843226993268
mixers,4.404546695189566
maluwe,4.403125186748781
minl1k,4.399708246501356
maakte,4.399102727580361
motste,4.3951973217949645
maande,4.395196262133678
miskom,4.3942870618685665
modder,4.3930113267710835
minjan,4.389481243457466
molmig,4.387874245054495
moesje,4.386402422503975
miszeg,4.375779929741853
muziek,4.374247129403637
maripa,4.37407740521082
maraan,4.367959058752566
mimiek,4.361782631980845
mommen,4.360381312143792
mestte,4.360105693918346
madera,4.352795551552986
meeste,4.35103262621816
mompel,4.343457412795075
morrig,4.3415385295346525
maker1,4.34025318655273
maxime,4.331052161428318
mondde,4.326449879329904
metste,4.32464161042644
mispak,4.3190092140788625
moefti,4.318857666401809
middel,4.316567780811753
meezat,4.314378605026517
myrons,4.310751954941725
muitte,4.310146614701974
minnen,4.307983661220366
muisje,4.306956931476617
mabels,4.3004740174760565
maykes,4.298301783380119
maalde,4.296837767179792
meekom,4.295427316490231
meubel,4.294537210380044
molsla,4.289694126730848
meeval,4.284643914196801
memmen,4.281315171290693
moduli,4.280349801515161
matigt,4.278056302041093
meerde,4.274959538847837
moutte,4.2642650691429465
misbak,4.2578369041293085
moluks,4.256149462303328
makel1,4.252919382179831
mixage,4.247102984144695
m1ngas,4.240018715258515
miszag,4.238963504738834
manche,4.236537138832086
maasde,4.233961960176923
madras,4.232268742944121
meepik,4.227924030788372
mommel,4.224902306333109
macher,4.222436876000038
modaal,4.222431402861832
modems,4.222145237306934
meluwe,4.220780936186009
miasma,4.220005398056873
mannen,4.215679425027209
meevat,4.2143113847340405
mutant,4.214306239874056
meende,4.20565426585857
mylans,4.205432727446717
m1ters,4.201632812240891
mousse,4.188743949663393
mannin,4.187861991422295
mooist,4.183365981418587
meiw1n,4.181841534059738
