Guess,Weighted Avg Log
snorkt,5.074631788238347
skates,5.073406108528763
sectie,5.071685254322284
streef,5.069222368430232
sletig,5.06784252036494
saaier,5.067678163694763
shaker,5.067194904783389
stoven,5.063804477857278
strofe,5.062197556035102
sompen,5.043695256147588
slempt,5.041004371612711
stolde,5.036603286461434
suiker,5.034348247159654
snoten,5.033734228037751
shaken,5.03039783616063
series,5.0238130916296635
smaken,5.023514779706488
sitsen,5.01922292018457
sliste,5.018488406994289
spruit,5.016553924616078
sproke,5.01176269444036
stages,5.0041537833288965
spreek,5.003109673360114
sp1ten,5.002402623558032
saaien,5.002314008868874
snoder,4.997707386621647
staket,4.996544620297548
simpen,4.993734009020361
stierf,4.993244783187796
smeren,4.993227338762536
steaks,4.991299553682943
sterks,4.9864077643126725
sonnet,4.986144356725624
stoeit,4.985351033988452
shopte,4.98525437040984
sinten,4.982628127187722
suites,4.982338204311354
sectio,4.981213826126765
spalkt,4.980280734886551
spiedt,4.976162545900314
slatte,4.973593472970986
speken,4.9711056372724585
smeert,4.969990757658261
string,4.968566717330492
sneuer,4.966805789686743
susten,4.96619114204379
snaait,4.964437255528666
snaren,4.961803443065504
stylen,4.957792927554204
stenen,4.957374379047503
sparde,4.953828683963286
spogen,4.952739532693626
simpel,4.952622424438408
streks,4.948309905972956
solden,4.945878340600675
skatet,4.945326563971547
sprank,4.944460688202466
sarren,4.943540267964718
stilte,4.941312919000341
seance,4.936647162298555
stapte,4.9327934700905836
script,4.931665026998701
saters,4.928320175077908
snitje,4.926529716078725
smakte,4.926120988053676
spatte,4.924354085107715
scores,4.922831502149747
santje,4.9188252768916625
spreid,4.917128988376081
spreke,4.915085012185645
scrolt,4.912567394897972
speldt,4.911924343103144
softie,4.907998770409677
spanen,4.906187437187199
straal,4.905598557618134
stalle,4.905107017154223
smoken,4.904402143468722
stelde,4.904129647995015
slonst,4.903458945020194
spande,4.902892990820079
seider,4.900739249449547
seines,4.900268928830143
solied,4.899498968439351
sperma,4.8981462247792225
santin,4.89717220962851
spekte,4.89675533920536
shanes,4.894442130576742
straks,4.8923706877283575
snifte,4.892270375440073
slaven,4.889557629698933
stamde,4.88632081833447
steven,4.885237251421994
simpte,4.87827015427854
snorde,4.878008465827222
struik,4.876695339713092
stapje,4.8761461224974685
senaat,4.87603891116169
slotte,4.872862738461989
servet,4.8717945022668365
snoeft,4.870935145454219
spread,4.864886742207618
stront,4.86424117999946
stipte,4.863466439147834
spoedt,4.863369120608415
singel,4.855962672353914
